strategy_id,date,total_pnl_dollars,total_pnl_pct,number_of_trades,number_of_symbols_traded,winning_trades_count,losing_trades_count,biggest_winner_contribution,biggest_loser_contribution,top_symbol,top_symbol_contribution,top_symbol_pct_of_day_pnl,cumulative_equity_before_day,cumulative_equity_after_day,rolling_drawdown_before_day,rolling_drawdown_after_day,positive_symbols_count,negative_symbols_count,rising_market,falling_or_volatile,calmer,regime_primary,spy_vol_20d,volatility_bucket,gap_pct,uptrend_regime,trend_stack_regime,dominant_symbol_family,gap_bucket,day_of_week,breadth_proxy,participation_type,gap_continuation_label,strategy_label
cross_sectional_momentum,2021-11-12 00:00:00+00:00,429.47625185438665,1.7179050074175466,63,3,20,24,99.96400975763893,-89.82664874092518,NFLX,1895.5256847471062,441.3575084914781,77878.85863392716,78308.33488578154,-9.582482425961947,-9.08385960032183,1,2,True,False,True,rising_market,0.06652147940518349,low_vol,0.0036496350364962904,True,True,mega_cap_tech_ex_nvda,-1% to 1%,Friday,0.3333333333333333,one_symbol_driven,mixed_day,Cross-sectional momentum
cross_sectional_momentum,2021-11-15 00:00:00+00:00,-1931.5190197568445,-7.7260760790273775,63,3,0,63,-0.49990001999592654,-58.0627909723533,TSLA,-963.548187115798,49.88551379820724,78308.33488578154,76376.8158660247,-9.08385960032183,-11.326357217478378,0,3,True,False,True,rising_market,0.06683496731119395,low_vol,-0.01526983481870714,True,True,mega_cap_tech_ex_nvda,-3% to -1%,Monday,0.0,multi_symbol_driven,mixed_day,Cross-sectional momentum
cross_sectional_momentum,2021-11-16 00:00:00+00:00,2921.5848239237675,11.68633929569507,63,3,60,3,119.34550026931527,-0.49990001999604955,TSLA,1970.5232456660124,67.44706604203763,76376.8158660247,79298.40068994847,-11.326357217478378,-7.934391133295293,3,0,True,False,True,rising_market,0.06416421568626678,low_vol,-0.00994671403197167,True,True,mega_cap_tech_ex_nvda,-1% to 1%,Tuesday,1.0,multi_symbol_driven,broad_continuation,Cross-sectional momentum
cross_sectional_momentum,2021-11-17 00:00:00+00:00,170.37133451996488,0.6814853380798594,63,3,40,23,98.27729533788363,-107.16804961763773,NVDA,-1766.1609069525614,1036.6537962086543,79298.40068994847,79468.77202446843,-7.934391133295293,-7.73658965798758,2,1,True,False,True,rising_market,0.06555900750606258,low_vol,0.006967485069674817,True,True,NVDA,-1% to 1%,Wednesday,0.6666666666666666,one_symbol_driven,mixed_day,Cross-sectional momentum
cross_sectional_momentum,2021-11-18 00:00:00+00:00,4074.7269545391027,16.29890781815641,63,3,40,23,265.59943743173767,-37.63944088096014,NVDA,4457.19014231424,109.3862286244502,79468.77202446843,83543.49897900753,-7.73658965798758,-3.0058231510816324,2,1,True,False,True,rising_market,0.06574655881567047,low_vol,0.1061643835616437,True,True,NVDA,>=3%,Thursday,0.6666666666666666,one_symbol_driven,major_gap_reaction,Cross-sectional momentum
cross_sectional_momentum,2021-11-19 00:00:00+00:00,4015.0276925287035,16.060110770114814,62,3,40,22,143.64587399980383,-12.541715483618383,NVDA,2381.672702553526,59.318960787877536,83543.49897900753,87558.52667153624,-3.0058231510816324,0.0,2,1,True,False,True,rising_market,0.06620219644515525,low_vol,0.018032268269534857,True,True,NVDA,1% to 3%,Friday,0.6666666666666666,multi_symbol_driven,broad_continuation,Cross-sectional momentum
cross_sectional_momentum,2021-11-22 00:00:00+00:00,-2320.1515410930006,-9.280606164372001,62,3,20,42,48.835703552007374,-112.04268661838546,NVDA,-1760.8593739130013,75.89415358116986,87558.52667153624,85238.37513044324,0.0,-2.6498293533384065,1,2,True,False,True,rising_market,0.06658405032431645,low_vol,0.016099635479951413,True,True,NVDA,1% to 3%,Monday,0.3333333333333333,one_symbol_driven,mixed_day,Cross-sectional momentum
cross_sectional_momentum,2021-11-23 00:00:00+00:00,-2898.697702065183,-11.594790808260731,62,3,0,62,-0.499900019995892,-117.94562342712035,TSLA,-2164.1992190206297,74.66108720059846,85238.37513044324,82339.67742837805,-2.6498293533384065,-5.960412356795331,0,3,True,False,True,rising_market,0.06656802862461254,low_vol,0.009205954048026488,True,True,mega_cap_tech_ex_nvda,-1% to 1%,Tuesday,0.0,one_symbol_driven,mixed_day,Cross-sectional momentum
cross_sectional_momentum,2021-11-24 00:00:00+00:00,2163.7275067689334,8.654910027075733,62,3,59,3,94.59972759546486,-0.4999000199959338,NVDA,1539.1606164000434,71.1346790011674,82339.67742837805,84503.40493514699,-5.960412356795331,-3.489233833102423,3,0,True,False,True,rising_market,0.06327235495140096,low_vol,-0.008838383838383868,True,True,NVDA,-1% to 1%,Wednesday,1.0,one_symbol_driven,mixed_day,Cross-sectional momentum
cross_sectional_momentum,2021-11-26 00:00:00+00:00,-2895.3351080091525,-11.58134043203661,62,3,20,42,28.258247994198747,-118.12502907212809,NVDA,-1908.7895311946804,65.92637674010639,84503.40493514699,81608.06982713784,-3.489233833102423,-6.7959764406734795,1,2,True,False,True,rising_market,0.09905461173728931,low_vol,-0.0024532352039251526,True,True,NVDA,-1% to 1%,Friday,0.3333333333333333,multi_symbol_driven,broad_continuation,Cross-sectional momentum
cross_sectional_momentum,2021-11-29 00:00:00+00:00,5343.536346755805,21.374145387023223,61,3,39,22,182.57207045458824,-6.99831060877537,NVDA,3008.716797754319,56.305723448124134,81608.06982713784,86951.60617389364,-6.7959764406734795,-0.6931597877604445,2,1,True,False,True,rising_market,0.10754467073536714,low_vol,0.027353689567429784,True,True,NVDA,1% to 3%,Monday,0.6666666666666666,multi_symbol_driven,broad_continuation,Cross-sectional momentum
