entry_time,exit_time,mode,side,entry_price,exit_price,gross_price_return_pct,net_trade_return_pct,bars_held,entry_reason,exit_reason,cost_bps_per_side,equity_after_trade
2022-04-27 10:00:00-04:00,2022-04-27 10:00:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,long,320.93,319.32535,-0.49999999999999756,-0.5397960200000052,1,bias_change,stop_loss,2.0,126234.68331705414
2022-04-27 10:30:00-04:00,2022-04-27 10:30:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,short,315.76,317.33879999999994,-0.4999999999999823,-0.5397960199999718,1,bias_change,stop_loss,2.0,125553.2735206491
2022-04-27 11:00:00-04:00,2022-04-27 15:15:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,long,317.84,317.64,-0.06292474200855419,-0.10289557462873633,17,bias_change,reverse_open,2.0,125424.08475839485
2022-04-27 15:15:00-04:00,2022-04-27 15:45:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,short,317.64,316.73,0.286487847878091,0.24637726419844963,3,bias_change,session_close,2.0,125733.10118706852
2022-04-28 11:15:00-04:00,2022-04-28 11:45:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,long,321.36,319.7532,-0.5000000000000066,-0.5397960200000052,3,bias_change,stop_loss,2.0,125054.39891103814
2022-04-28 12:15:00-04:00,2022-04-28 15:45:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,long,320.9962,327.94,2.1632031781061616,2.122341983363052,15,bias_change,session_close,2.0,127708.48092116941
2022-04-29 10:45:00-04:00,2022-04-29 15:45:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,short,321.8,313.24,2.6600372902423874,2.6189773817277606,21,bias_change,session_close,2.0,131053.13715104296
2022-05-02 10:45:00-04:00,2022-05-02 10:45:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,long,315.96,314.3802,-0.4999999999999929,-0.539796019999994,1,bias_change,stop_loss,2.0,130345.7175326165
2022-05-02 11:15:00-04:00,2022-05-02 15:30:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,short,315.09,315.88,-0.2507220159319624,-0.2906177371544638,17,bias_change,reverse_open,2.0,129966.90975784547
2022-05-02 15:30:00-04:00,2022-05-02 15:45:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,long,315.88,318.46,0.8167658604533317,0.776443186779785,2,bias_change,session_close,2.0,130976.02897372849
2022-05-03 11:30:00-04:00,2022-05-03 12:00:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,long,319.45,317.85275,-0.49999999999999195,-0.539796019999983,3,bias_change,stop_loss,2.0,130269.02558217428
2022-05-03 13:30:00-04:00,2022-05-03 14:00:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,long,319.97,318.37015,-0.500000000000001,-0.539796019999994,3,bias_change,stop_loss,2.0,129565.83856678892
