winner_id,variant,entry_mode,timeframe_min,timeframe_label,layer_id,is_baseline_layer,start_offset_min,cutoff,trend_filter,cost_bps_per_side,stop_loss_pct,take_profit_pct,ending_equity,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,profit_factor,trade_count,win_count,win_rate_pct,long_trades,short_trades,session_count,avg_trade_return_pct,avg_holding_bars,avg_holding_minutes,exposure_pct,bullish_signal_count,bearish_signal_count
uncontested_15m_hybrid,active_uncontested_session_reset,hybrid_reentry_once,15,15m,start_30_cutoff_none_trend_ema10,False,30,none,ema10,0.0,0.5,4.25,204352.92419360334,104.35292419360334,15.56440217875139,10.040783907119133,1.3894346472712729,1.2644821511088786,1151,493,42.83231972198089,553,598,1245,0.0647280626586367,11.03388357949609,165.50825369244134,35.84182885387705,6455,4597
dominant_count_10m_always_on,active_dominant_count_session_reset,always_on_active,10,10m,start_00_cutoff_none_trend_vwap_ema10,False,0,none,vwap_ema10,0.0,1.25,3.5,203303.4107248769,103.30341072487693,15.444022342401276,10.60011302022128,1.1057330433635542,1.1872942312447416,1393,652,46.80545585068198,698,695,1245,0.054398325341689355,20.77099784637473,207.7099784637473,57.52239728143343,11816,7888
uncontested_15m_hybrid,active_uncontested_session_reset,hybrid_reentry_once,15,15m,start_00_cutoff_none_trend_vwap_ema10,False,0,none,vwap_ema10,0.0,0.5,4.25,202772.21774574174,102.77221774574174,15.382905163591687,7.721564633251532,1.3743713296986877,1.2742577156600958,1097,470,42.844120328167726,523,574,1245,0.06706574956060025,11.329990884229717,169.94986326344576,35.11584800741427,6455,4597
uncontested_15m_hybrid,active_uncontested_session_reset,hybrid_reentry_once,15,15m,start_30_cutoff_1430_trend_vwap,False,30,14:30,vwap,0.0,0.5,4.25,202533.25832159165,102.53325832159166,15.355369688738186,6.722293961614945,1.3706090128476904,1.2826217800822672,1032,430,41.66666666666667,495,537,1245,0.07125002308547755,12.313953488372093,184.7093023255814,36.16620327463701,6455,4597
dominant_count_10m_always_on,active_dominant_count_session_reset,always_on_active,10,10m,start_30_cutoff_none_trend_ema10,False,30,none,ema10,0.0,1.25,3.5,201512.72236596158,101.51272236596158,15.23748010582855,12.541186612020184,1.1012661979856584,1.1848227098991018,1443,675,46.77754677754678,727,716,1245,0.051849810323327236,19.84130284130284,198.41302841302843,56.89424364123159,11816,7888
dominant_count_10m_always_on,active_dominant_count_session_reset,always_on_active,10,10m,start_60_cutoff_none_trend_vwap,False,60,none,vwap,0.0,1.25,3.5,200407.0930535791,100.4070930535791,15.109222134926314,13.309839515499021,1.1261531966380347,1.2103128297388277,1272,612,48.113207547169814,657,615,1245,0.05785691803737266,20.06053459119497,200.60534591194968,50.59005251776336,11816,7888
dominant_count_10m_always_on,active_dominant_count_session_reset,always_on_active,10,10m,start_60_cutoff_1430_trend_none,False,60,14:30,none,0.0,1.25,3.5,199000.4653466353,99.0004653466353,14.945228708610458,13.65475829308892,1.1391230920247837,1.2132924622564358,1236,584,47.249190938511326,641,595,1245,0.05897747157290105,20.82766990291262,208.2766990291262,51.156420554010914,11816,7888
dominant_count_10m_always_on,active_dominant_count_session_reset,always_on_active,10,10m,start_60_cutoff_none_trend_ema10,False,60,none,ema10,0.0,1.25,3.5,196685.2204149262,96.68522041492622,14.673278476172458,13.81087792926623,1.1279071294143865,1.2039280288383274,1320,633,47.95454545454545,677,643,1245,0.05426925781621335,19.211363636363636,192.11363636363637,50.26464833693749,11816,7888
uncontested_15m_hybrid,active_uncontested_session_reset,hybrid_reentry_once,15,15m,start_30_cutoff_1430_trend_ema10,False,30,14:30,ema10,0.0,0.5,4.25,196325.58136895468,96.32558136895469,14.630806208773063,8.423875736234388,1.3441852528173546,1.2698346007319257,1035,440,42.51207729468599,491,544,1245,0.0679421984065452,12.014492753623188,180.2173913043478,35.33209762125425,6455,4597
uncontested_15m_hybrid,active_uncontested_session_reset,hybrid_reentry_once,15,15m,start_30_cutoff_none_trend_vwap_ema10,False,30,none,vwap_ema10,0.0,0.5,4.25,196231.56153755746,96.23156153755745,14.619692524101602,8.59319654340326,1.3303460607857425,1.268688218585832,1070,456,42.61682242990654,505,565,1245,0.06562198031512417,11.235514018691589,168.53271028037383,33.941921532282976,6455,4597
uncontested_15m_hybrid,active_uncontested_session_reset,hybrid_reentry_once,15,15m,start_00_cutoff_1430_trend_vwap_ema10,False,0,14:30,vwap_ema10,0.0,0.5,4.25,194081.9104040204,94.08191040402039,14.36442521281769,6.532656442783513,1.3232877720972216,1.277266584235427,989,421,42.568250758341755,468,521,1245,0.06979349690536761,12.29221435793731,184.38321536905966,34.58140253320976,6455,4597
dominant_count_10m_always_on,active_dominant_count_session_reset,always_on_active,10,10m,start_30_cutoff_none_trend_vwap_ema10,False,30,none,vwap_ema10,0.0,1.25,3.5,192985.0534210263,92.9850534210263,14.233305461280366,10.717097770698835,1.0403203124322764,1.1784857512956735,1368,642,46.92982456140351,685,683,1245,0.05145730090377779,20.650584795321638,206.50584795321637,56.12604263206673,11816,7888
dominant_count_10m_always_on,active_dominant_count_session_reset,always_on_active,10,10m,start_00_cutoff_1430_trend_vwap_ema10,False,0,14:30,vwap_ema10,0.0,1.25,3.5,189201.11642601228,89.20111642601228,13.776357251096073,9.066768667352498,1.0236492956080179,1.1770345495423526,1267,600,47.355958958168905,630,637,1245,0.05401939956170196,22.588792423046566,225.88792423046567,56.99516012769025,11816,7888
uncontested_15m_hybrid,active_uncontested_session_reset,hybrid_reentry_once,15,15m,start_30_cutoff_1430_trend_vwap_ema10,False,30,14:30,vwap_ema10,0.0,0.5,4.25,188765.3972594421,88.7653972594421,13.72327303498908,7.415518390732712,1.2898780736786286,1.2739709051480814,961,407,42.35171696149844,449,512,1245,0.0688555256072977,12.224765868886577,183.37148803329865,33.40438677788075,6455,4597
dominant_count_10m_always_on,active_dominant_count_session_reset,always_on_active,10,10m,start_60_cutoff_none_trend_vwap_ema10,False,60,none,vwap_ema10,0.0,1.25,3.5,186097.47554834833,86.09747554834833,13.396088300745369,13.459651991175559,1.0479940925828326,1.1928999620339626,1247,602,48.275862068965516,637,610,1245,0.05294721163464193,19.979951884522855,199.79951884522853,49.372876119864074,11816,7888
dominant_count_10m_always_on,active_dominant_count_session_reset,always_on_active,10,10m,start_60_cutoff_1430_trend_vwap,False,60,14:30,vwap,0.0,1.25,3.5,181623.1581456274,81.62315814562741,12.838876556742406,12.657711213586131,1.0194400843033584,1.1916146350197063,1144,559,48.86363636363637,587,557,1245,0.055591440586782025,22.021853146853147,220.21853146853147,50.0442796828339,11816,7888
dominant_count_10m_always_on,active_dominant_count_session_reset,always_on_active,10,10m,start_30_cutoff_1430_trend_vwap_ema10,False,30,14:30,vwap_ema10,0.0,1.25,3.5,180198.4675396641,80.19846753966408,12.659154187349397,9.757693865608474,0.9599560943150762,1.1686661144626305,1242,590,47.50402576489533,617,625,1245,0.05103721849997972,22.488727858293075,224.88727858293075,55.590567397796306,11816,7888
dominant_count_10m_always_on,active_dominant_count_session_reset,always_on_active,10,10m,start_30_cutoff_1430_trend_ema10,False,30,14:30,ema10,0.0,1.25,3.5,179964.09742024526,79.96409742024527,12.629480316537766,13.121679864783886,0.9548936689345586,1.163748086016527,1312,613,46.72256097560975,658,654,1245,0.0482879468923278,21.596036585365855,215.96036585365854,56.399958809597365,11816,7888
dominant_count_10m_always_on,active_dominant_count_session_reset,always_on_active,10,10m,start_60_cutoff_1430_trend_ema10,False,60,14:30,ema10,0.0,1.25,3.5,172752.86684895403,72.75286684895403,11.701025868870696,13.826139537330828,0.9559549239932257,1.1750269764205912,1186,571,48.14502529510961,607,579,1245,0.04933452684977402,21.120573355817875,211.20573355817874,49.74770878385336,11816,7888
dominant_count_10m_always_on,active_dominant_count_session_reset,always_on_active,10,10m,start_60_cutoff_1430_trend_vwap_ema10,False,60,14:30,vwap_ema10,0.0,1.25,3.5,170749.29918948008,70.74929918948007,11.437583775708383,12.657711213586131,0.9467389865311245,1.176629212340266,1119,549,49.06166219839142,569,550,1245,0.05117722507011087,21.971403038427166,219.71403038427167,48.81886520440737,11816,7888
uncontested_15m_hybrid,active_uncontested_session_reset,hybrid_reentry_once,15,15m,start_60_cutoff_none_trend_vwap,False,60,none,vwap,0.0,0.5,4.25,164177.54883018622,64.17754883018623,10.555812797835372,7.7943346489097625,1.049947757139354,1.239070265360947,886,369,41.64785553047404,413,473,1245,0.058644387292049044,10.091422121896162,151.37133182844244,24.967562557924,6455,4597
uncontested_15m_hybrid,active_uncontested_session_reset,hybrid_reentry_once,15,15m,start_60_cutoff_none_trend_ema10,False,60,none,ema10,0.0,0.5,4.25,162051.16990864312,62.051169908643125,10.264476544664625,8.99794127140292,1.0613506412047014,1.2387832913924437,874,375,42.90617848970252,402,472,1245,0.05778939493598215,9.691075514874141,145.36613272311212,23.586654309545878,6455,4597
uncontested_15m_hybrid,active_uncontested_session_reset,hybrid_reentry_once,15,15m,start_60_cutoff_none_trend_none,False,60,none,none,0.0,0.5,4.25,161271.14491870656,61.271144918706554,10.156840327266735,10.389844675740289,0.9972834640417632,1.210650644056335,984,412,41.86991869918699,479,505,1245,0.05115593030159156,9.635162601626016,144.52743902439025,26.419524250849552,6455,4597
uncontested_15m_hybrid,active_uncontested_session_reset,hybrid_reentry_once,15,15m,start_60_cutoff_none_trend_vwap_ema10,False,60,none,vwap_ema10,0.0,0.5,4.25,158709.8163347414,58.70981633474139,9.800455165422473,7.894829895419231,1.021225148848408,1.2392185579754569,827,350,42.32164449818622,371,456,1245,0.05847286434721138,9.889963724304716,148.34945586457073,22.78653073833797,6455,4597
uncontested_15m_hybrid,active_uncontested_session_reset,hybrid_reentry_once,15,15m,start_60_cutoff_1430_trend_vwap,False,60,14:30,vwap,0.0,0.5,4.25,157337.87975416848,57.33787975416848,9.607672525023215,8.59393114669702,1.0000979660766307,1.2428991929801745,769,318,41.352405721716515,352,417,1245,0.061785059905760685,11.23407022106632,168.5110533159948,24.371331479765214,6455,4597
uncontested_15m_hybrid,active_uncontested_session_reset,hybrid_reentry_once,15,15m,start_60_cutoff_1430_trend_ema10,False,60,14:30,ema10,0.0,0.5,4.25,156648.148216421,56.64814821642099,9.5102454838085,8.90681589939507,1.0244008008084857,1.2481371718722905,753,321,42.62948207171315,338,415,1245,0.06233369783776889,10.864541832669323,162.96812749003985,23.027494593759652,6455,4597
uncontested_15m_hybrid,active_uncontested_session_reset,hybrid_reentry_once,15,15m,start_60_cutoff_1430_trend_none,False,60,14:30,none,0.0,0.5,4.25,156117.13313899064,56.11713313899065,9.435004332685448,10.266393058744594,0.9639550338156572,1.2190295837341643,848,351,41.39150943396226,403,445,1245,0.055298748388096994,10.799528301886792,161.99292452830187,25.795489650911335,6455,4597
