timeframe_min,timeframe_label,stop_loss_pct,take_profit_pct,ending_equity,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,profit_factor,trade_count,win_count,win_rate_pct,long_trades,short_trades,session_count,avg_trade_return_pct,avg_holding_bars,avg_holding_minutes,exposure_pct,bullish_signal_count,bearish_signal_count,bar_count
5,5m,1.0,3.0,181460.79128782608,81.46079128782608,12.818451136853337,17.186187252464013,0.8661429758389039,1.0945434859486691,3266,1383,42.34537660747091,1604,1662,1245,0.020089306427730824,23.15523576240049,115.77617881200246,76.6295953042941,2932,3500,97110
15,15m,0.75,3.0,181380.8241293553,81.38082412935528,12.808386073239797,16.145454412163506,1.042841468972022,1.1692899417406604,1387,638,45.99855803893295,669,718,1245,0.045759369261454304,11.662581110310022,174.93871665465034,46.601791782514674,984,1195,32370
10,10m,2.0,0.25,181231.7448614388,81.2317448614388,12.789612763160418,8.963607800432548,1.2612226068966534,1.1461444755208279,2783,1973,70.89471793029105,1282,1501,1245,0.02215989501506811,5.903701042040963,59.03701042040963,29.12367418391515,1442,1702,48555
10,10m,1.5,0.25,180853.0758566455,80.85307585664549,12.741872153579315,8.651161130001928,1.2826367492862452,1.1455102087544073,2784,1973,70.86925287356321,1283,1501,1245,0.022068008173689844,5.89367816091954,58.93678160919541,29.05365049943363,1442,1702,48555
3,3m,0.5,4.0,180430.8947689712,80.43089476897119,12.688551681280668,16.56989244373347,0.8600578529543641,1.072159679408572,5282,2157,40.83680424081787,2589,2693,1245,0.012299421654073285,25.37731919727376,76.13195759182128,81.62557924003707,5077,5764,161850
10,10m,0.25,1.0,179957.79585819255,79.95779585819255,12.628682043099548,12.800072261911556,1.2925551500798793,1.15906403597838,2324,723,31.11015490533563,1091,1233,1245,0.026292678301949177,7.667383820998279,76.67383820998279,32.20677582123365,1442,1702,48555
3,3m,0.5,3.0,178972.22776305518,78.97222776305519,12.503556269989403,16.625483279794086,0.8497513871447411,1.0710632152428714,5290,2158,40.79395085066162,2592,2698,1245,0.012134887872533834,25.3351606805293,76.0054820415879,81.60395427865308,5077,5764,161850
15,15m,2.0,3.0,178770.37174741694,78.77037174741695,12.477861252329102,16.151668217989734,0.966024582288967,1.1614194124635429,1357,652,48.047162859248346,659,698,1245,0.04615797059210308,12.716285924834192,190.7442888725129,50.605498918751934,984,1195,32370
3,3m,0.5,1.0,178625.57508257747,78.62557508257748,12.459415278826791,18.124098354677887,0.8692196463955053,1.065009617931933,5700,2337,41.0,2769,2931,1245,0.011176503016301353,22.83736842105263,68.51210526315789,78.87117701575534,5077,5764,161850
5,5m,0.25,1.0,178504.87485608013,78.50487485608014,12.444029888543273,15.94502066055764,1.0488260577353277,1.0963762890982247,4102,1297,31.618722574353974,1948,2154,1245,0.014997561424783418,12.624085811799123,63.12042905899561,49.82494078879621,2932,3500,97110
