variant_id,base_strategy,removed_symbol,removal_kind,comparison_scope,baseline_slice,comparison_slice,baseline_total_return_pct,comparison_total_return_pct,return_delta_pct_points,baseline_final_equity,comparison_final_equity,final_equity_delta,baseline_non_extreme_expectancy,comparison_non_extreme_expectancy,non_extreme_expectancy_delta,baseline_top_symbol_share_pct,comparison_top_symbol_share_pct,top_symbol_share_delta_pct_points
dse_control_native,down_streak_exhaustion,GOOGL,single,broad_participation,broad_participation_only,ex_googl_broad_participation_only,-0.806153982930069,0.0,0.806153982930069,24798.46150426748,25000.0,201.53849573251864,0.0,0.0,0.0,100.0,0.0,-100.0
dse_control_native,down_streak_exhaustion,META,single,broad_participation,broad_participation_only,ex_meta_broad_participation_only,-0.806153982930069,0.03159324311527989,0.8377472260453489,24798.46150426748,25007.89831077882,209.43680651133764,0.0,0.0,0.0,100.0,100.0,0.0
dse_control_native,down_streak_exhaustion,NFLX,single,broad_participation,broad_participation_only,ex_nflx_broad_participation_only,-0.806153982930069,-0.37195775056928504,0.434196232360784,24798.46150426748,24907.01056235768,108.54905809019692,0.0,0.0,0.0,100.0,0.0,-100.0
dse_control_native,down_streak_exhaustion,AAPL,single,full,ex_tsla_full,ex_aapl_full,9.314936742213153,6.234828279600979,-3.0801084626121735,27328.73418555329,26558.707069900247,-770.0271156530434,0.5755957171745768,1.8605978666221414,1.2850021494475645,53.831264985375896,67.43208786953304,13.60082288415714
dse_control_native,down_streak_exhaustion,AMZN,single,full,ex_tsla_full,ex_amzn_full,9.314936742213153,12.114712975039676,2.799776232826524,27328.73418555329,28028.678243759918,699.9440582066272,0.5755957171745768,1.2488694725654994,0.6732737553909226,53.831264985375896,53.831264985375896,0.0
dse_control_native,down_streak_exhaustion,GOOGL,single,full,ex_tsla_full,ex_googl_full,9.314936742213153,5.344618419580693,-3.970318322632459,27328.73418555329,26336.154604895175,-992.5795806581154,0.5755957171745768,-1.7193435729223292,-2.294939290096906,53.831264985375896,72.74404335308243,18.912778367706537
dse_control_native,down_streak_exhaustion,META,single,full,ex_tsla_full,ex_meta_full,9.314936742213153,1.0943651277585342,-8.220571614454618,27328.73418555329,25273.591281939633,-2055.142903613658,0.5755957171745768,-1.6736458739011941,-2.249241591075771,53.831264985375896,56.31316292712481,2.4818979417489118
dse_control_native,down_streak_exhaustion,NFLX,single,full,ex_tsla_full,ex_nflx_full,9.314936742213153,12.471222166872797,3.156285424659645,27328.73418555329,28117.805541718197,789.0713561649063,0.5755957171745768,4.04229381453695,3.466698097362373,53.831264985375896,53.831264985375896,0.0
rs_top3_native,relative_strength_vs_benchmark,AAPL+META,pair,broad_participation,broad_participation_only,pair_aapl_meta_broad_participation_only,37.477302628236295,-0.10593484041944157,-37.58323746865574,34369.325657059075,24973.51628989514,-9395.809367163936,27.346780415130144,6.686540290883702,-20.660240124246442,53.55154280927794,100.0,46.44845719072206
rs_top3_native,relative_strength_vs_benchmark,META+NFLX,pair,broad_participation,broad_participation_only,pair_meta_nflx_broad_participation_only,37.477302628236295,-0.5821890567431875,-38.059491684979484,34369.325657059075,24854.452735814204,-9514.87292124487,27.346780415130144,1.655704057768884,-25.69107635736126,53.55154280927794,100.0,46.44845719072206
rs_top3_native,relative_strength_vs_benchmark,AAPL+META,pair,full,ex_tsla_full,pair_aapl_meta_full,502.0245823440751,339.83479366232984,-162.18978868174526,150503.13606501126,109956.49968136099,-40546.63638365027,116.14290598326103,95.20875471546266,-20.93415126779837,33.33655241634312,52.48455150266575,19.147999086322635
rs_top3_native,relative_strength_vs_benchmark,META+NFLX,pair,full,ex_tsla_full,pair_meta_nflx_full,502.0245823440751,170.71026549690345,-331.31431684717165,150503.13606501126,67676.21309355451,-82826.92297145675,116.14290598326103,54.19748358183598,-61.94542240142505,33.33655241634312,77.69431188698812,44.357759470645
rs_top3_native,relative_strength_vs_benchmark,AAPL,single,broad_participation,broad_participation_only,ex_aapl_broad_participation_only,37.477302628236295,25.78214184288017,-11.695160785356126,34369.325657059075,31445.535460720042,-2923.7901963390323,27.346780415130144,21.71254062017176,-5.634239794958383,53.55154280927794,75.45136000012972,21.899817190851785
rs_top3_native,relative_strength_vs_benchmark,AMZN,single,broad_participation,broad_participation_only,ex_amzn_broad_participation_only,37.477302628236295,21.06352026053009,-16.413782367706204,34369.325657059075,30265.880065132522,-4103.445591926553,27.346780415130144,17.883342502446837,-9.463437912683307,53.55154280927794,56.08496505480115,2.5334222455232123
rs_top3_native,relative_strength_vs_benchmark,GOOGL,single,broad_participation,broad_participation_only,ex_googl_broad_participation_only,37.477302628236295,30.399288834513083,-7.078013793723212,34369.325657059075,32599.82220862827,-1769.5034484308053,27.346780415130144,22.249671608633662,-5.0971088064964825,53.55154280927794,58.089268651989755,4.537725842711815
rs_top3_native,relative_strength_vs_benchmark,META,single,broad_participation,broad_participation_only,ex_meta_broad_participation_only,37.477302628236295,6.219218258560177,-31.25808436967612,34369.325657059075,26554.804564640042,-7814.521092419032,27.346780415130144,10.055836649970205,-17.290943765159938,53.55154280927794,100.0,46.44845719072206
rs_top3_native,relative_strength_vs_benchmark,NFLX,single,broad_participation,broad_participation_only,ex_nflx_broad_participation_only,37.477302628236295,2.359955858862617,-35.117346769373675,34369.325657059075,25589.988964715656,-8779.336692343419,27.346780415130144,15.14098066082273,-12.205799754307414,53.55154280927794,83.56988399578688,30.01834118650894
rs_top3_native,relative_strength_vs_benchmark,AAPL,single,full,ex_tsla_full,ex_aapl_full,502.0245823440751,479.3681045429272,-22.6564778011479,150503.13606501126,144839.12987446133,-5664.0061905499315,116.14290598326103,122.69099846572107,6.548092482460035,33.33655241634312,36.977503598925225,3.640951182582107
rs_top3_native,relative_strength_vs_benchmark,AMZN,single,full,ex_tsla_full,ex_amzn_full,502.0245823440751,454.98434006408377,-47.04024227999133,150503.13606501126,138743.310649194,-11759.825415817264,116.14290598326103,102.43035552630066,-13.712550456960372,33.33655241634312,36.73693082179705,3.400378405453935
rs_top3_native,relative_strength_vs_benchmark,GOOGL,single,full,ex_tsla_full,ex_googl_full,502.0245823440751,366.94191380028116,-135.08266854379394,150503.13606501126,116735.4784500703,-33767.65761494097,116.14290598326103,80.99605130816177,-35.14685467509926,33.33655241634312,50.09338255105945,16.75683013471633
rs_top3_native,relative_strength_vs_benchmark,META,single,full,ex_tsla_full,ex_meta_full,502.0245823440751,351.248896596056,-150.7756857480191,150503.13606501126,112809.96835568968,-37693.167709321584,116.14290598326103,91.24731620823957,-24.895589775021463,33.33655241634312,50.77901594214255,17.442463525799432
rs_top3_native,relative_strength_vs_benchmark,NFLX,single,full,ex_tsla_full,ex_nflx_full,502.0245823440751,304.8185049941863,-197.2060773498888,150503.13606501126,101202.60256075916,-49300.533504252104,116.14290598326103,77.04996752422296,-39.092938459038066,33.33655241634312,46.51463575744293,13.178083341099814
