strategy_id,family,cluster_dimension,cluster_value,trade_count,expectancy,payoff_ratio,win_rate,average_MFE,average_MAE,drawdown_contribution,profit_concentration,stability_across_subperiods,hotspot_score
relative_strength_vs_benchmark_rep_user_subset_5y,Momentum / Relative-Strength Family,day_of_week,Monday,500,73.74491947677018,1.3266225590049607,0.614,0.0992020223290876,-0.06992191238111406,33211.74649923524,70084.20623762034,0.6666666666666666,405.4539867743731
relative_strength_vs_benchmark_rep_user_subset_5y,Momentum / Relative-Strength Family,regime_bucket,market_not_uptrend,162,132.89195593096537,0.8935941729319318,0.7777777777777778,0.11681935842240572,-0.0746310645070842,10118.773844030939,31647.27070484732,0.6666666666666666,403.26024140278207
relative_strength_vs_benchmark_rep_user_subset_5y,Momentum / Relative-Strength Family,regime_bucket,market_uptrend,2512,79.45056008397896,1.2952897980022262,0.6353503184713376,0.10164105847802359,-0.0672769700421365,158792.56425088644,358372.37118184153,0.5,402.8590318397029
cross_sectional_momentum_rep_user_subset_5y,Momentum / Relative-Strength Family,symbol,TSLA,307,96.86749450796441,1.411138337861964,0.5635179153094463,0.15868853204432612,-0.10458347173748235,36184.92679684465,65923.24761078972,0.5,391.6335116661503
relative_strength_vs_benchmark_rep_user_subset_5y,Momentum / Relative-Strength Family,trend_alignment,trend_aligned,2387,80.48107732170666,1.2451024941648476,0.6531210724759112,0.09732362348888682,-0.0649701534800827,142901.43316271863,335009.7647296325,0.5,389.716357956859
cross_sectional_momentum_rep_user_subset_5y,Momentum / Relative-Strength Family,symbol,META,401,65.57700376342572,1.2489023376473083,0.6508728179551122,0.07815072795173174,-0.05740407753309521,19796.85686071076,46093.235369844464,0.75,368.32880130935354
relative_strength_vs_benchmark_rep_user_subset_5y,Momentum / Relative-Strength Family,vol_bucket,high_vol,1045,89.25821666118127,1.1808373418961562,0.6334928229665072,0.13433132032167647,-0.08382630242155574,89598.64374911209,182873.48016004654,0.5,366.4068364847212
pullback_in_trend_rep_user_subset_5y,Pullback in Trend Family,gap_bucket,<=-3%,49,111.38873458251734,1.0438773392097003,0.7142857142857143,0.12458133778852308,-0.09421278737270763,3390.737745945585,8848.785740488935,0.8,363.9000600016304
cross_sectional_momentum_rep_user_subset_5y,Momentum / Relative-Strength Family,gap_bucket,>=3%,59,124.58284200701202,1.183222909590982,0.711864406779661,0.16399325328751713,-0.08562746251650183,3821.8445098690704,11172.232188282782,0.6,362.12661271730065
volatility_contraction_breakout_rep_user_subset_5y,Breakout / Trend-Continuation Family,vol_bucket,mid_vol,71,86.66978319546611,1.2922472324971732,0.676056338028169,0.08923885423149645,-0.051611510014778296,3626.428146289925,9779.982753168018,0.75,359.23606482542016
