entry_time,exit_time,mode,side,entry_price,exit_price,gross_price_return_pct,net_trade_return_pct,bars_held,entry_reason,exit_reason,cost_bps_per_side,equity_after_trade
2021-07-27 15:00:00-04:00,2021-07-27 15:30:00-04:00,active,long,363.71,364.44,0.20070935635534307,0.16063308064118154,2,bullish_fvg_active,session_close,2.0,92067.30904048122
2021-07-28 10:00:00-04:00,2021-07-28 15:30:00-04:00,active,long,365.12,365.79,0.1835013146362883,0.14343192145049866,12,bullish_fvg_active,session_close,2.0,92199.36295086575
2021-07-29 10:00:00-04:00,2021-07-29 15:30:00-04:00,active,long,366.97,366.48,-0.13352590129983624,-0.1734684962803601,12,bullish_fvg_active,session_close,2.0,92039.42610237481
2021-07-30 10:00:00-04:00,2021-07-30 15:30:00-04:00,active,long,364.39,364.51,0.03293174895030175,-0.007077422432000269,12,bullish_fvg_active,session_close,2.0,92032.91208338556
2021-08-02 10:00:00-04:00,2021-08-02 15:30:00-04:00,active,long,365.08,364.52,-0.15339103758080483,-0.19332568730142663,12,bullish_fvg_active,session_close,2.0,91854.98882355684
2021-08-03 10:00:00-04:00,2021-08-03 15:30:00-04:00,active,long,363.35,366.77,0.9412412274666185,0.9008687686252737,12,bullish_fvg_active,session_close,2.0,92682.4817302925
2021-08-04 10:00:00-04:00,2021-08-04 15:30:00-04:00,active,long,367.07,367.34,0.07355545263845638,0.03353003339963134,12,bullish_fvg_active,session_close,2.0,92713.55819737226
2021-08-05 10:00:00-04:00,2021-08-05 15:30:00-04:00,active,long,368.75,369.77,0.27661016949152045,0.23650353648814182,12,bullish_fvg_active,session_close,2.0,92932.82904131303
2021-08-06 10:00:00-04:00,2021-08-06 15:30:00-04:00,active,long,368.45,368.06,-0.10584882616365487,-0.1458024908671418,12,bullish_fvg_active,session_close,2.0,92797.33066173749
2021-08-09 10:00:00-04:00,2021-08-09 15:30:00-04:00,active,long,368.4,368.7,0.08143322475570342,0.04140465472315391,12,bullish_fvg_active,session_close,2.0,92835.75307609029
2021-08-10 10:00:00-04:00,2021-08-10 11:00:00-04:00,active,long,369.32,366.61,-0.7337810029242877,-0.7734835198743517,2,bullish_fvg_active,reverse_open,2.0,92117.68382549548
