variant,selector,persistence,timeframe_min,timeframe_label,cost_bps_per_side,stop_loss_pct,take_profit_pct,ending_equity,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,profit_factor,trade_count,win_count,win_rate_pct,long_trades,short_trades,session_count,avg_trade_return_pct,avg_holding_bars,avg_holding_minutes,exposure_pct,bullish_signal_count,bearish_signal_count,bullish_event_count,bearish_event_count,bar_count
active_dominant_width_carry,dominant_width,carry,30,30m,0.0,0.25,2.0,87254.54322338822,-12.745456776611785,-2.7219333890771136,29.487440192109958,-0.13179087602776757,0.986180300533036,3784,1021,26.982029598308664,2670,1114,1245,-0.0024490103994462783,3.927061310782241,117.81183932346723,68.4708063021316,12485,3615,480,609,16185
active_dominant_width_carry,dominant_width,carry,3,3m,0.0,1.5,1.5,87219.30371059643,-12.78069628940357,-2.729886882482091,30.85207495667567,-0.06340196225140192,0.9902416453143913,1814,889,49.0077177508269,1414,400,1245,-0.0035347318287086973,88.53307607497244,265.59922822491734,98.20018535681186,138566,23278,5077,5764,161850
active_dominant_count_carry,dominant_count,carry,60,60m,0.0,0.5,3.0,87146.52819615374,-12.853471803846261,-2.746320298144278,20.611178466280965,-0.15039880898574579,0.9808496377258257,2074,866,41.75506268081003,1486,588,1245,-0.004715545566782748,3.5245901639344264,211.47540983606558,60.09179575444635,6482,2023,268,328,8715
active_uncontested_carry,uncontested,carry,60,60m,0.0,1.5,0.75,87136.65456048428,-12.863345439515717,-2.748550703828956,21.334940934305603,-0.38683224857595816,0.9191609110554508,638,351,55.01567398119123,551,87,1245,-0.019742185498930417,4.887147335423197,293.22884012539186,28.456683878370626,3211,233,268,328,8715
event_baseline,event,na,1,1m,0.0,0.5,0.5,87126.94940444217,-12.873050595557823,-2.750743247250431,30.680429014611597,-0.09696860503171933,0.9960273543903557,16767,6661,39.72684439673168,8274,8493,1245,-0.0004392032660668682,25.734299516908212,25.734299516908212,87.95530841313975,15551,17074,15551,17074,485550
active_uncontested_carry,uncontested,carry,60,60m,0.0,2.0,1.0,87107.99136364176,-12.892008636358243,-2.7550267210455837,20.87286084230824,-0.38028010632000603,0.9136671384865357,577,309,53.552859618717505,510,67,1245,-0.021801143997228076,5.4350086655112655,326.10051993067594,29.363166953528395,3211,233,268,328,8715
active_dominant_width_carry,dominant_width,carry,1,1m,0.0,2.0,0.75,87081.67228993512,-12.918327710064881,-2.7609746159670823,35.358767209857575,-0.06429426742662887,0.9919811168538795,2397,1350,56.32040050062578,1961,436,1245,-0.0025559468741366853,202.00792657488526,202.00792657488526,99.26928225723405,439429,45839,15551,17074,485550
active_nearest_mid_carry,nearest_mid,carry,5,5m,0.0,2.0,0.25,87051.14694278096,-12.948853057219035,-2.767874890303712,34.406172331515975,-0.0792398117859941,0.9954203937197932,13846,8581,61.9745774953055,7932,5914,1245,-0.0005423701726407264,6.918315759063989,34.59157879531995,92.06775821233653,66165,30782,2932,3500,97110
active_uncontested_carry,uncontested,carry,10,10m,0.0,1.0,2.0,86934.76448716313,-13.065235512836871,-2.7942009378406074,19.52394953485098,-0.3830900410262396,0.9151079714140185,530,266,50.18867924528302,473,57,1245,-0.024100447018669233,30.81320754716981,308.1320754716981,32.552775203377614,14692,648,1442,1702,48555
active_uncontested_carry,uncontested,carry,10,10m,0.0,1.0,3.0,86924.93206572253,-13.075067934277463,-2.7964263474377526,20.442032349429407,-0.38502257543455826,0.9104448480929612,520,263,50.57692307692307,473,47,1245,-0.024745882614273965,31.43653846153846,314.36538461538464,32.606322726804656,14692,648,1442,1702,48555
active_uncontested_carry,uncontested,carry,60,60m,0.0,2.0,3.0,86911.55112991741,-13.088448870082592,-2.7994552284391516,21.953023308148666,-0.37598320057454016,0.9046851679413309,540,288,53.333333333333336,493,47,1245,-0.02380460094813511,5.811111111111111,348.66666666666663,29.81067125645439,3211,233,268,328,8715
active_dominant_width_carry,dominant_width,carry,1,1m,0.0,0.75,0.5,86873.29727797129,-13.126702722028716,-2.808116343428302,34.91414478119476,-0.07272932157773955,0.9946485009519678,5120,2903,56.69921875,4085,1035,1245,-0.001311929540661616,94.5712890625,94.5712890625,98.70559159715786,439429,45839,15551,17074,485550
active_uncontested_carry,uncontested,carry,10,10m,0.0,1.0,1.5,86840.52384822918,-13.159476151770821,-2.815539047120008,19.41790205498155,-0.3975366388910882,0.9143796757163557,539,271,50.278293135435995,477,62,1245,-0.02399319661963722,30.267161410018552,302.67161410018554,32.49922767995057,14692,648,1442,1702,48555
active_uncontested_carry,uncontested,carry,60,60m,0.0,2.0,0.75,86760.32886240243,-13.239671137597576,-2.833711468542688,21.533649318335225,-0.3884315643354122,0.9142629013737008,621,343,55.23349436392915,543,78,1245,-0.020931159212677772,5.049919484702094,302.99516908212564,28.858290304073435,3211,233,268,328,8715
