timeframe_minutes,family,domcycle,leveling,entry_buffer,exit_ratio,final_equity,total_return_pct,max_drawdown_pct,sharpe,profit_factor,trade_count,win_rate_pct,avg_trade_return_pct,avg_win_pct,avg_loss_pct,avg_holding_bars,long_trade_count,short_trade_count,long_avg_trade_return_pct,short_avg_trade_return_pct,positive_days_pct,positive_years,worst_year_return_pct,best_year_return_pct,avg_low_band,avg_high_band,avg_band_width,avg_long_entry_level,avg_long_exit_level,avg_short_entry_level,avg_short_exit_level,rank_in_timeframe
1,breakout,40,5.0,2.0,0.5,976.4371006803307,-96.09425159727869,96.10837199629111,-5.836411220460371,0.6494301484574933,7775,31.395498392282956,-0.04129830084023012,0.24368156946988134,-0.17171372330498302,26.91305466237942,3829,3946,-0.04002460787582235,-0.042534228453179376,28.99598393574297,0,-58.767391556198746,-8.600393360137218,38.47186400302694,62.69745889589589,24.22559489287367,64.69745889589782,50.5846614494616,36.471864003028664,50.5846614494616,22
1,mean_reversion,30,5.0,2.0,1.0,896.4712705032882,-96.41411491798685,96.61560022515367,-4.836641962933322,0.7200616259922916,8454,49.373077832978474,-0.0386630642569852,0.20142496697526088,-0.2728049900428301,46.2912230896617,4224,4230,-0.038005995164749104,-0.03931920133631998,35.66265060240964,0,-61.117743344515915,-12.862815931212989,36.95810552003781,64.25046974918932,27.292364229146905,34.95810552003681,64.25046974918932,66.25046974918902,36.95810552003781,23
1,mean_reversion,40,10.0,4.0,0.0,880.2496301130406,-96.47900147954785,96.50075292433512,-10.208287881620283,0.4839832876053241,9152,42.8868006993007,-0.036407954907127574,0.07962312761959255,-0.12353670924372454,9.12423513986014,4735,4417,-0.037254019674727246,-0.035500978073393606,21.044176706827308,0,-56.35231947447741,-10.738014669758487,40.70680563833108,60.646295406476774,19.939489768152118,36.70680563832919,40.70680563833108,64.64629540647671,60.646295406476774,24
1,mean_reversion,40,5.0,0.0,1.0,855.1757850652996,-96.5792968597388,96.77744249964768,-4.356500575457961,0.7229666102513299,7620,49.85564304461943,-0.04343489296502511,0.22735816610625592,-0.3126688190084218,59.72716535433071,3809,3811,-0.03640072502630686,-0.05046536939603203,36.46586345381526,0,-58.56693013264107,-11.201007601002,38.47186400302694,62.69745889589589,24.22559489287367,38.47186400302694,62.69745889589589,62.69745889589589,38.47186400302694,25
1,mean_reversion,30,10.0,4.0,1.0,820.1764363555882,-96.71929425457765,96.87519990842671,-5.163172170393903,0.6992589922087504,8513,49.477270057559025,-0.03950692937015421,0.1856576957761437,-0.2600122539728583,40.64043228004229,4307,4206,-0.0383987571498467,-0.04064171247829585,36.46586345381526,0,-61.49093065153668,-13.279085878415245,39.42890135198476,62.00010769752191,22.571206345541007,35.42890135198555,62.00010769752191,66.00010769752365,39.42890135198476,26
1,breakout,40,20.0,4.0,1.0,792.238344063112,-96.83104662374755,96.84229260369112,-4.647388520864094,0.7143167979546279,8533,34.290401968826906,-0.039864953329578,0.29068648609472403,-0.2123624585472573,41.75647486229931,4197,4336,-0.03730550556905967,-0.04234235237267505,32.20883534136546,0,-56.5151786415784,-10.563610916847761,44.01363524720975,57.560357286003864,13.546722038792732,61.56035728600454,44.01363524720975,40.01363524721151,57.560357286003864,27
1,mean_reversion,40,20.0,4.0,1.0,771.3514572114221,-96.9145941711543,97.09625581095581,-5.039638973794637,0.6970718698186373,8533,51.318410875424824,-0.04013504667042342,0.179965196861856,-0.27215694518459577,41.75647486229931,4336,4197,-0.0376576476273206,-0.042694494430937376,35.34136546184739,0,-57.869850283296934,-13.069427277008511,44.01363524720975,57.560357286003864,13.546722038792732,40.01363524721151,57.560357286003864,61.56035728600454,44.01363524720975,28
1,breakout,30,10.0,4.0,1.0,758.5127788070096,-96.96594888477196,96.98105067594597,-5.023475934213012,0.7060723842250745,8513,35.79231763185716,-0.04049307062984712,0.2717688796996015,-0.21456225516220212,40.64043228004229,4206,4307,-0.03935828752170068,-0.04160124285014961,32.1285140562249,0,-56.350475589143656,-9.335923477158795,39.42890135198476,62.00010769752191,22.571206345541007,66.00010769752365,39.42890135198476,35.42890135198555,62.00010769752191,29
1,mean_reversion,40,15.0,2.0,1.0,743.602421970888,-97.02559031211645,97.17774680786341,-4.79499411065295,0.7138985158158418,8771,51.533462547029984,-0.039416118559167435,0.1908538389686983,-0.2842573813269816,46.06453084026907,4434,4337,-0.034514690100141576,-0.04442717085045343,36.46586345381526,0,-57.60449659731237,-13.011701961283038,42.47539459770101,58.99267964462704,16.51728504692171,40.475394597703676,58.99267964462704,60.99267964462779,42.47539459770101,30
1,breakout,40,15.0,4.0,0.5,738.3953265372153,-97.04641869385114,97.05709673612581,-6.006556833282409,0.6578690934231484,8720,31.295871559633028,-0.03999101383857341,0.24570983440824395,-0.1701324952048858,26.740825688073393,4271,4449,-0.03894710030870421,-0.04099316144164062,29.71887550200803,0,-58.43475473497812,-10.599489713693217,42.47539459770101,58.99267964462704,16.51728504692171,62.99267964462908,50.734037121162714,38.475394597703826,50.734037121162714,31
1,mean_reversion,40,15.0,4.0,0.5,736.1636899483678,-97.05534524020652,97.16609815893032,-6.420356634897327,0.6314402489721154,8720,50.73394495412844,-0.04000898616142844,0.1351086853509202,-0.22034431641530286,26.740825688073393,4449,4271,-0.03900683855835539,-0.04105289969129291,32.44979919678715,0,-57.44290273553831,-13.096957960725955,42.47539459770101,58.99267964462704,16.51728504692171,38.475394597703826,50.734037121162714,62.99267964462908,50.734037121162714,32
1,breakout,30,5.0,2.0,1.0,719.3818076172904,-97.12247276953084,97.13448560292815,-4.866260317788441,0.7144523819369901,8454,36.491601608705935,-0.041336935743015876,0.28342627015779487,-0.22794421646643173,46.2912230896617,4230,4224,-0.04068079866367665,-0.041994004835247276,34.4578313253012,0,-57.48155989542356,-9.864943726014175,36.95810552003781,64.25046974918932,27.292364229146905,66.25046974918902,36.95810552003781,34.95810552003681,64.25046974918932,33
